Ro,Theta,Phi,3,4,5,6,7,8
3.8164088762736106,-1.365321481976013,0.916803915705638,9.352,3.166,-6.255,-475.81,26.59,1.0
4.422331874328293,1.4424868304788554,0.7617299717718361,8.684,3.688,-7.546,-465.81,26.36,1.0
4.568259502359734,0.0038939125366435133,0.9908684381251573,1.334,1.261,0.356,-460.23,1.99,1.0
4.721591989625957,0.0006972612516569477,1.1177080290874497,1.298,1.207,0.249,-459.71,1.83,1.0
4.660390762564873,-0.002531609436605914,1.0844092164322212,1.381,1.161,0.189,-457.64,1.83,1.0
5.242537739740173,-0.0017084726944136457,0.23781233100108992,1.306,1.417,0.21,-456.71,2.06,1.0
5.563206576013513,-0.0018290770515972106,1.4336633890278625,1.278,0.617,0.163,-454.22,1.44,1.0
4.090880933992091,0.7515314850150813,1.2953559287237257,9.242,-0.871,-9.384,-451.78,41.0,1.0
3.777323879123949,0.88904426564655,0.8918631977181959,8.627,-2.208,-11.472,-451.19,37.85,1.0
5.367109482738358,0.6227856002025967,0.6063806558885674,-9.141,2.718,-10.082,-451.08,29.61,1.0
4.180631302518796,0.7414682273743681,1.282932613485421,9.184,-1.253,-9.166,-450.74,40.82,1.0
4.857419701127339,-0.003932121940443316,1.1841583107498166,1.244,1.439,0.037,-450.56,2.07,1.0
4.613552531639799,1.377858066698934,0.7272496723322287,8.143,3.08,-8.095,-444.65,26.79,1.0
3.854797995822868,0.853621060294209,0.8797505513020852,8.109,-3.364,-11.386,-444.34,37.71,1.0
5.5675687348339045,-1.4761077222015393,0.7258046016268438,9.984,0.025,-9.763,-443.59,41.35,1.0
4.959919646778564,1.246166153939542,0.6917333601583671,7.822,3.601,-8.56,-442.87,26.81,1.0
5.4532660847697505,0.6564885697850344,0.6016234336163335,-7.449,3.986,-11.095,-441.74,29.55,1.0
3.5190238022212923,0.47461025031276055,1.5440527685735892,6.191,3.137,-9.787,-441.44,40.03,1.0
3.527874955621302,0.4718901386238963,1.5453675151466584,6.335,3.188,-9.75,-441.14,40.0,1.0
4.394514458833877,0.008153905125662515,0.8102955491684545,1.468,0.093,0.105,-440.5,1.99,1.0
3.755198094708187,0.9157665775616718,0.8873436085328145,8.62,-1.578,-10.73,-439.37,37.14,1.0
5.406320643496832,0.6681227896933184,0.5959320496701108,-7.318,3.079,-10.993,-439.37,28.98,1.0
4.450301344021549,1.4178805635737028,0.7447025483624323,8.275,2.965,-8.144,-438.5,26.43,1.0
7.263316566879073,0.4985732589095128,0.4942172722423047,5.116,2.733,-9.912,-437.58,40.18,1.0
3.7808080234521295,0.8649625545521584,0.8835076542589334,8.809,-3.251,-11.692,-437.12,37.97,1.0
4.318065155379201,1.5086398548078332,0.7907788512504654,8.268,3.582,-7.34,-437.07,26.76,1.0
4.481670178103248,-0.04769535368057359,0.729607064811972,1.458,2.193,0.78,-436.94,3.83,1.0
3.783752179530261,0.8727712830390559,0.8815804428351568,8.679,-2.553,-11.415,-434.81,37.57,1.0
6.644437142369547,0.4846577808255957,1.2273961709527095,9.062,2.868,-4.761,-434.47,26.27,1.0
3.5004585213083157,0.5119041215408862,1.5099009563843455,5.533,1.441,-10.074,-433.71,40.0,1.0
3.8939877981447246,0.8368223929796507,0.8895976589625635,7.635,-3.622,-11.844,-433.1,38.29,1.0
4.574512426718284,-0.024098275364268146,0.6220539360003107,1.525,2.332,0.811,-431.45,3.33,1.0
4.400737071593803,1.455886986197625,0.7536167772062418,8.169,2.581,-7.641,-431.41,26.56,1.0
6.295808417264617,1.035585041008591,0.659766741132111,9.21,3.34,-6.344,-430.34,27.51,1.0
4.443288553504037,-0.007546455681671983,0.8845311299618787,1.187,0.664,-0.383,-429.72,1.66,1.0
3.5012846333881513,1.1011249387716713,0.8561000871690688,7.012,2.018,-4.268,-429.41,31.49,1.0
4.45784438482323,-0.01986354703919855,0.8785236636127534,1.34,1.218,0.576,-429.3,2.4,1.0
3.4492307791883103,1.1201284669401326,0.8636085918334521,7.015,2.182,-3.936,-429.26,31.48,1.0
3.5267476493364254,1.0796023911705017,0.8588254357478469,6.342,1.749,-4.264,-429.0,31.98,1.0
3.8692108468135977,0.7666082616090251,1.321027874959335,9.628,0.546,-9.953,-428.68,41.58,1.0
0.41380893151308373,-0.5917836732925116,0.9088776153049263,1.629,1.869,0.989,-428.02,4.31,1.0
4.414795676834887,0.8487158412118007,1.6648896266456694,8.403,2.336,-6.583,-427.94,26.79,1.0
7.288061926657869,0.44497920418066184,0.5179639339348399,7.465,3.782,-9.384,-427.26,39.82,1.0
4.255990650001477,1.5179455475827737,0.8092272679359749,8.249,4.65,-6.945,-427.04,26.4,1.0
3.3928217648735988,0.43620455953791,1.5885376529832986,5.045,5.116,-8.733,-426.19,40.59,1.0
7.213848717702638,0.43649277142441856,0.5147213101580752,6.679,4.598,-9.305,-424.77,40.19,1.0
