PDB codes,0,1,2,3,4,5,6,7,8,9,Output
"4hj8 , 2la5",0.27706735620408995,-0.8157144791940714,0.4932552149930996,-0.05064098769949655,0.86633437941096,-0.9493751681310192,0.8265304137072736,1.2487592399416703,0.3272063391660218,0.44990892370090574,0
"1osb , 2mki",-6.987584745546057,6.155290929430451,0.33002387290325275,-1.3909381337146673,1.082220869127175,-2.438121148241709,-1.6966070241560374,-2.020963008842544,-0.8797218539265574,-0.2533090598637489,1
"5wzj , 1je8",3.4253662363498596,4.887627436629506,4.602562045206288,1.7750652789249213,1.7738683069173877,-0.6028351651033594,0.9157045982844644,-0.018385517642230773,-0.03142296695603802,-0.839976848963569,0
"3moj , 1wwd",-1.2814709368420538,-1.0869834622436265,-1.0660606191810051,1.0939284491918964,0.028919675531768396,-0.6756744496854749,-0.032666231568062205,0.39653121411276826,0.448374584291997,-0.05771137025766301,1
"3rn2 , 2kx5",-0.31882046894336913,-0.2821637181404787,-1.855589647573137,2.961092336786516,-0.5063812116702232,-0.09591474035567663,-2.3213562646995953,0.8729403204848508,0.43629259268329196,0.4127158463289519,0
"1il2 , 5wwg",-2.7879479454414393,0.854510564700579,4.579695228307317,-4.769654688722377,-0.8159528216975271,-0.8305784511300852,-0.5269416427448167,0.10144027910824793,-0.2878375186385057,-0.15677474359483737,0
"1il2 , 1wwe",-2.425471066883787,1.161834193093719,4.490403871738099,-4.873184002829485,0.45826406037101963,-1.080625464870774,-0.29469201973307374,0.6541630155430838,-0.30839254388574666,0.13981434589081496,0
"4pdb , 4hid",-0.21996156312054513,-1.4943919553306841,-0.6096571654157165,0.16235505570359662,0.2632948013522918,0.04172143711597129,0.660303927142496,0.026668292400126213,0.04366108525822889,-0.3482146094379907,1
"2mkk , 5yts",-1.3378876755137543,-2.4907942017951217,0.3279751714129242,-0.07783075915023147,-0.9096239197848083,-0.16338861860855186,0.4545983373693625,-0.13458676306477083,-0.08908354446304179,-0.40694745143010086,1
"4hid , 4hj5",-0.4630192481922934,-1.9305846441560495,0.1600349404141738,-0.2526128585538679,-1.3840924410732713,0.5691411222056857,-0.20426346621562777,0.28189732889119534,-0.352303019281055,-0.3137306914061385,0
"5wwg , 5yts",-1.0029253753611722,-2.876326879933929,0.14339146903387934,0.10058834262625711,-0.9612868369512649,-0.38616183904689805,0.19710009448533508,-0.012243790312205703,-0.1614344316095253,-0.40543868628722307,1
"2lec , 1wwe",-0.10951260131246662,-1.4655720157825978,0.2215929175241849,-0.5212173202174812,0.8910063360226356,0.7360099464618235,0.3516653015285307,0.260447474280249,-0.4273272219935526,0.15529374074725885,0
"4hj7 , 1wwe",-0.10911538599517198,-1.4561149841965964,0.17957341930765353,-0.47705877690193915,0.6899473730378345,-0.25830812730000546,0.5200813309347776,0.20875306978035854,-0.37029117115550314,0.14699871113299204,1
"2mkk , 1u6p",2.406413626280373,0.7040475902703311,0.6370199161621584,0.1432321951586016,-0.22318986636858196,-0.2862520528161183,0.5504765323813887,0.08487397012207207,-0.013728984097668064,2.7751788225173035,0
"6eo6 , 1exd",3.6579389667914373,-0.36876783109929173,-2.4370601577852438,-1.6490255633654816,-0.5232340276586884,-1.2349927522437032,-1.1460282764649399,0.15029261603233227,-0.4647109438933025,0.36881107754785974,1
"2lec , 1omh",2.4765305256397157,0.7530702095469152,0.2602337817326353,-0.5108454076898392,-0.36526830286585793,1.0339030162466998,0.6176641754439595,0.781387323781625,-0.4409097801845719,-0.49573084797580597,0
"4hik , 4hid",-0.11896665098058398,-1.6271623874973327,0.07960762928208805,-0.5463700828555527,0.24345074114880777,-0.017262259709376407,0.7457565982948876,-0.012346194560467235,-0.27332926716457223,-0.34769958482672886,1
"2lec , 4pdb",-0.05672461261337522,-1.4256209841587226,0.7577992098219971,-0.0009193658807169491,0.2583581357583107,0.8422720529772277,-0.07293024981230203,-0.6614562686665585,-0.40840387950519846,0.07829338029227995,0
"5wzj , 1wwf",-1.2214119972763275,0.9743010072001806,0.9879415358627345,-1.6724323737403382,1.8881358000346964,-0.6491978714415981,1.1671517648070777,0.39237971967325813,0.014873448219555472,0.5082439297255391,1
"2mkk , 4hid",-0.20680084002637952,-1.5190851320351009,-0.020240822107399033,-0.44596656125566514,0.16801305054494328,-0.3713964411240126,0.5428556263001744,0.09576889623643668,-0.10811709430489069,-0.35057661721303407,0
"1s03 , 5ytt",-3.05339693780087,0.7378293395659831,-1.0758987490715528,0.6192088708738692,2.428691998721429,-0.8083034848102513,0.6390959490376689,0.5380800432766305,0.009800270857197329,-0.48994745775834836,1
"1je8 , 4pdb",-4.516316583463712,3.8399076886819987,-2.5062008398374855,3.451464208954309,0.4933132775328188,1.8009204349836998,-0.6292452172031477,-0.4470581912339518,-0.8344204088046345,0.10608550932882799,1
"4hik , 1osb",7.592390061688286,4.996141459702841,-0.28852295616388124,-1.0160312592189622,-2.036577312664825,0.5254168417013406,0.9223549049879799,0.26203292200346456,-0.27178419256823094,-0.847236732073998,1
"1il2 , 4hj8",-2.241436289594527,1.3284462956503467,4.363850356377108,-4.992566753150509,-1.0284640763971264,-0.7863069862807839,-0.5490184920675939,0.03090439147785014,-0.27150306664748597,0.3625238741606114,0
"5wzk , 5ytv",-2.2393805159384477,-1.2929351476191557,1.0807218325302428,-1.080226648125324,0.23418657291318318,-0.7821223708741721,0.7141597858996916,0.01799359871247563,0.1484055698141187,-0.49484447762264067,1
"1s40 , 5wzj",1.0902261349283537,1.0256416427830635,-0.8983472840201717,-1.6886930382622254,0.111657646053836,2.002513015405221,-1.1978198477054487,-0.5237972135378214,0.14771326838626425,0.04706875558709012,1
"2mkk , 2err",-0.3429917879418549,-1.6355341374406507,0.07070640117487074,-0.348463942267974,-0.6193922565871285,-0.2052555508443233,0.683961398748221,0.3570916354780637,-0.08785295072876613,0.13400419663685806,0
"1rkj , 2kh9",-1.397688156245515,-1.8953822445669688,0.45057129137160756,-0.42384868584604024,0.8558114258899494,0.3757538669584014,0.4069358195256788,0.3871305124210637,0.14989585579555034,-0.2272368459411529,1
"5wzj , 1s03",0.9118456023112972,2.787464711548888,2.2985467575098455,-0.41407804256754593,-0.3392674168272556,-0.20458174607318788,0.659592544343013,-0.7461863888945623,0.049746156695297014,0.06564993706285593,1
"1je8 , 2kkf",-4.173752513300485,4.130179580951289,-2.11654821251715,3.8429672055814716,-1.155548432797895,2.139581112572006,-0.746582750618122,-0.7612037477808072,-0.8071724874316392,-0.08028750817953545,1
"4him , 1u63",4.558840745279384,2.398626984757661,6.079804021742648,5.265718243472079,-0.6337096266422464,-0.6451196286058354,0.09237568681660363,-1.410697574865371,-0.22267346708552346,-0.25742580551104943,0
"4hid , 1u6p",2.498870212475123,0.5895066191129428,0.6338176577131956,0.1358324686227292,-0.11707723474801439,0.31675280176840526,-0.17073153246292488,0.3997228731275917,-0.28647704674548674,2.7868774752590784,0
"1zzi , 2kh9",-1.2351942158601013,-2.0773249267683305,0.21192989001003268,-0.19410277728666403,0.7491156598472916,-0.05619848867377017,-0.2589384623764028,0.7051247355305547,-0.07066803669879566,-0.21760659175940522,1
"5wzk , 1s03",1.604524728058293,1.9879108991206558,2.064704972787528,-0.19273946076194143,-0.43223822865014183,-0.639345523176427,0.4161093917189305,-0.6220933444556309,0.17076786183946588,0.06000076693032397,1
"2mki , 5yts",-1.1272820624234887,-2.7586439773463325,0.6783562440641555,-0.41117813338625614,-0.4898654272805902,1.6744021320924187,2.3834299197635445,-1.0882668835541565,-0.2334818295292169,-0.4087683954013624,0
"2lec , 4hio",-0.20236925218668367,-1.5404199226476303,0.16667348297020035,-0.5609493501607332,-0.3350769084127417,0.9905693488639993,0.3435776324322345,0.184158878303437,-0.4122593369971043,-0.022997218766403885,0
"5wwe , 2gkd",-0.8926140047898757,-2.6494199345572524,0.4140499226397099,0.4531475016587348,-0.8558572253506624,-1.17102034849165,0.4082658207192392,1.0431694552831454,-0.0751941904176547,0.14717291841884617,1
"1exd , 2kx5",-2.0479577137731617,1.6436744490511406,2.581488580843735,-1.5306666271545477,-0.49937415354703407,-0.10730326242006936,0.24620820973756147,-0.2846182560938579,0.3411562354749581,0.39627349212490554,0
