,PDB codes,kd difference
0,"1exd , 1il2",2992.9
1,"1exd , 1jbr",992.9
2,"1exd , 1je8",6.949999999999999
3,"1exd , 1knz",71.9
4,"1exd , 1omh",62.9
5,"1exd , 1osb",62.9
6,"1exd , 1rkj",1092.9
7,"1exd , 1s03",192.9
8,"1exd , 1s40",6.8
9,"1exd , 1u63",6.58
10,"1exd , 1u6p",67.9
11,"1exd , 1wwd",242.9
12,"1exd , 1wwe",162.9
13,"1exd , 1wwf",86.9
14,"1exd , 1wwg",87.9
15,"1exd , 1zzi",2192.9
16,"1exd , 2b6g",22.9
17,"1exd , 2err",6.01
18,"1exd , 2gkd",13992.9
19,"1exd , 2glo",22.9
20,"1exd , 2kh9",89992.9
21,"1exd , 2kkf",43992.9
22,"1exd , 2kx5",6.1
23,"1exd , 2l41",762992.9
24,"1exd , 2la5",3.3
25,"1exd , 2leb",262.9
26,"1exd , 2lec",212.9
27,"1exd , 2mki",15792.9
28,"1exd , 2mkk",1572.9
29,"1exd , 3moj",7.045999999999999
30,"1exd , 3rn2",104.9
31,"1exd , 4hid",847.9
32,"1exd , 4hik",16.9
33,"1exd , 4him",29.9
34,"1exd , 4hio",13.9
35,"1exd , 4hj5",55.9
36,"1exd , 4hj7",1.0999999999999996
37,"1exd , 4hj8",14.9
38,"1exd , 4pdb",102.9
39,"1exd , 5wwe",527.6999999999999
40,"1exd , 5wwg",212.70000000000002
41,"1exd , 5wzg",24.9
42,"1exd , 5wzj",5.9
43,"1exd , 5wzk",152.9
44,"1exd , 5z6z",38.14
45,"1exd , 6eo6",6.1
46,"1exd , 6eo7",6.71
47,"1exd , 5ytx",1332.9
48,"1exd , 5ytv",1252.9
49,"1exd , 5ytt",3762.9
50,"1exd , 5yts",2762.9
51,"1il2 , 1exd",2992.9
52,"1il2 , 1jbr",2000.0
53,"1il2 , 1je8",2999.85
54,"1il2 , 1knz",2921.0
55,"1il2 , 1omh",2930.0
56,"1il2 , 1osb",2930.0
57,"1il2 , 1rkj",1900.0
58,"1il2 , 1s03",2800.0
59,"1il2 , 1s40",2999.7
60,"1il2 , 1u63",2999.48
61,"1il2 , 1u6p",2925.0
62,"1il2 , 1wwd",2750.0
63,"1il2 , 1wwe",2830.0
64,"1il2 , 1wwf",2906.0
65,"1il2 , 1wwg",2905.0
66,"1il2 , 1zzi",800.0
67,"1il2 , 2b6g",2970.0
68,"1il2 , 2err",2998.91
69,"1il2 , 2gkd",11000.0
70,"1il2 , 2glo",2970.0
71,"1il2 , 2kh9",87000.0
72,"1il2 , 2kkf",41000.0
73,"1il2 , 2kx5",2999.0
74,"1il2 , 2l41",760000.0
75,"1il2 , 2la5",2996.2
76,"1il2 , 2leb",2730.0
77,"1il2 , 2lec",2780.0
78,"1il2 , 2mki",12800.0
79,"1il2 , 2mkk",1420.0
80,"1il2 , 3moj",2999.946
81,"1il2 , 3rn2",2888.0
82,"1il2 , 4hid",2145.0
83,"1il2 , 4hik",2976.0
84,"1il2 , 4him",2963.0
