PDB codes,VDWAALS 1,EEL 1,EGB 1,ESURF 1,GGAS 1,GSOLV 1,TOTAL 1,VDWAALS 2,EEL 2,EGB 2,ESURF 2,GGAS 2,GSOLV 2,TOTAL 2,Output
"1exd , 1il2",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,1
"1exd , 1jbr",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,1
"1exd , 1je8",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,0
"1exd , 1omh",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-270.05,-5246.08,5238.97,-34.09,-5516.13,5204.88,-311.25,1
"1exd , 1osb",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-563.32,-11193.39,11154.77,-72.18,-11756.71,11082.59,-674.11,1
"1exd , 1rkj",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-119.28,-801.67,834.16,-15.17,-920.95,818.99,-101.96,1
"1exd , 1s03",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-247.91,-10623.74,10708.88,-30.83,-10871.65,10678.05,-193.59,1
"1exd , 1s40",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-151.75,-1458.39,1510.73,-20.71,-1610.14,1490.02,-120.12,0
"1exd , 1u63",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,0
"1exd , 1u6p",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,1
"1exd , 1wwd",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,1
"1exd , 1wwe",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,1
"1exd , 1wwf",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-109.69,-1452.29,1473.77,-14.75,-1561.98,1459.02,-102.95,1
"1exd , 1wwg",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-75.82,-1272.75,1275.97,-11.37,-1348.57,1264.6,-83.97,1
"1exd , 1zzi",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-124.32,-1081.08,1111.28,-15.2,-1205.4,1096.08,-109.32,1
"1exd , 2b6g",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-32.62,-2351.98,2361.59,-4.95,-2384.6,2356.64,-27.96,1
"1exd , 2err",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-97.46,-560.92,590.08,-11.74,-658.38,578.34,-80.04,0
"1exd , 2gkd",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-34.48,-1506.27,1521.0,-5.32,-1540.75,1515.67,-25.08,1
"1exd , 2glo",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-76.22,-4248.3,4260.04,-10.82,-4324.52,4249.23,-75.29,1
"1exd , 2kh9",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-49.13,-508.76,534.32,-5.94,-557.89,528.38,-29.51,1
"1exd , 2l41",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-31.83,-226.28,237.63,-4.44,-258.1,233.19,-24.91,1
"1exd , 2leb",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,1
