PDB codes,EEL 1,VDWAALS 2,GSOLV 2,hbnum_std_<.35_1,hbnum_mean2,ESURF 1,ESURF 2,hbnum_std_<.35_2,EGB 1,hbdist_std1,VDWAALS 1,hbdist_std2,hbdist_mean1,hbnum_mean_<.35_1,hbnum_mean_<.35_2,hbnum_std2,hbdist_mean2,hbnum_std1,GGAS 2,GGAS 1
"4hj8 , 2la5",0.5677899411540475,0.1792929292170057,0.1653345418589321,0.8890887129244397,0.8810156480661352,0.41101177244840437,0.34872231884748583,0.8811568916923902,0.13816331575477916,0.3170743651801439,0.7348484848336173,0.3792168540098488,0.6813472130337725,0.31772745227015653,0.37988377046584854,0.623812246137122,0.6186955272561487,0.6860900077286123,0.2194252228664048,0.14267190324792717
"1osb , 2mki",0.5506890146792526,0.5957070708242072,0.04467081410678971,0.12870755603274725,0.9095069382934751,0.8672875613887356,0.26025953432426824,0.9647027244665145,0.8827764502307185,0.5295902378445947,0.7388888890297539,0.3082126078999396,0.46809515751904324,0.529020454831091,0.308927810703041,0.6960392698379276,0.6907077234086266,0.46323441199297816,0.10786110591609002,0.784851318496353
"5wzj , 1je8",0.31659568218464673,0.14017676752971978,0.4892056690837178,0.7513353912226546,0.40625922645408924,0.46946218608963364,0.48700518731307063,0.5840692524493356,0.30620674027686223,0.3002952014611727,0.6808080808298073,0.8199911808895057,0.6986805488105717,0.30064945557701,0.8199464390933411,0.17922708980614815,0.17947582363633727,0.7010740893989065,0.2974128794962907,0.4646717785674209
"3moj , 1wwd",0.6645322621267906,0.5050505050489191,0.07868119644034277,0.9084820829418869,0.9366696191319751,0.40886269255841673,0.20963374846337554,0.9495906589719499,0.1221778180619644,0.4633461076441609,0.6656565657223,0.3226227324510006,0.5358162204185372,0.46393901581119923,0.323373259862209,0.681363883794969,0.6757425132715829,0.540171237320628,0.07590549217629822,0.19295555139953868
"3rn2 , 2kx5",1.0,0.6772727271581878,0.12337261041529332,0.9446114615487853,0.8844109831709478,0.3325313296561017,0.34603089020572453,0.90202657361428,0.1512133322346737,0.5738963715747132,0.32878787874351406,0.4041354323169999,0.4252449116351123,0.5744951988600658,0.4048039146877504,0.5992090210125216,0.59417697656533,0.43016276604339937,0.21218128545601894,0.04972258587369864
"1il2 , 5wwg",0.4131546265702396,0.7045454545401022,0.09915746539222148,0.6376862166152194,0.9071449660466488,0.594582825885515,0.22559501697224169,0.926533351228023,0.5659401779828609,0.0,0.573232323189703,0.3219999669436395,1.0,0.0,0.3227099713221048,0.6816766599990044,0.6764431771001639,1.0,0.07174116326912287,0.6448226419799263
"1il2 , 1wwe",0.4131546265702396,0.37045454536765954,0.10155735003295979,0.6376862166152194,0.8891349276645999,0.594582825885515,0.30250968330653216,0.9147899610790498,0.5659401779828609,0.0,0.573232323189703,0.32993022863370514,1.0,0.0,0.3306143467821835,0.6735936496433167,0.6683952151237503,1.0,0.15363131974315813,0.6448226419799263
"4pdb , 4hid",0.4669937951286757,0.48333333320119065,0.13626812788398154,0.9517782847939873,0.865515205196339,0.31944357766919973,0.1939145479620991,0.9064018252583546,0.06903015820698746,0.38017344794776115,0.626010100960721,0.3187200413979902,0.6191331112630132,0.3808443248942737,0.3193729219951458,0.684707712371574,0.6798119019999156,0.623925278111705,0.10814787108035658,0.10025559503771585
"2mkk , 5yts",0.48957930866523597,0.7449494950884569,0.0,0.9039055160381156,0.9622084440507824,0.2937988927665481,0.08761722062123631,0.9940544893302912,0.12573129531970995,0.3214794312918446,0.685353535314959,0.3054791325602906,0.6770165770831004,0.32211237915539764,0.3062673116064681,0.6991460169082775,0.6932365069271238,0.6819302678408935,0.017318122311576586,0.10973131350913283
"4hid , 4hj5",0.539304903625798,0.82803030315299,0.10270064271588662,0.9064018252583546,0.8898730439917331,0.1939145479620991,0.16142674905378415,0.9185478459267212,0.13626812788398154,0.3187200413979902,0.48333333320119065,0.31463860113644504,0.6798119019999156,0.3193729219951458,0.3153256581470848,0.6889396784668783,0.684001224176384,0.684707712371574,0.1110653949255034,0.10814787108035658
"5wwg , 5yts",0.5660291886714026,0.7449494950884569,0.0,0.926533351228023,0.9622084440507824,0.22559501697224169,0.08761722062123631,0.9940544893302912,0.09915746539222148,0.3219999669436395,0.7045454545401022,0.3054791325602906,0.6764431771001639,0.3227099713221048,0.3062673116064681,0.6991460169082775,0.6932365069271238,0.6816766599990044,0.017318122311576586,0.07174116326912287
"2lec , 1wwe",0.3967967796711122,0.37045454536765954,0.10155735003295979,0.900845524090726,0.8891349276645999,0.2123432339068049,0.30250968330653216,0.9147899610790498,0.11994273236651282,0.3151901526326433,0.4292929292758812,0.32993022863370514,0.6834017605578595,0.3158383754959872,0.3306143467821835,0.6735936496433167,0.6683952151237503,0.6881578399712074,0.15363131974315813,0.12203727947135463
"4hj7 , 1wwe",0.46375899376215335,0.37045454536765954,0.10155735003295979,0.8985236880955576,0.8891349276645999,0.21281936451960695,0.30250968330653216,0.9147899610790498,0.13749382003955174,0.3156037652418899,0.6406565657007124,0.32993022863370514,0.6830472543894318,0.3162480597126987,0.3306143467821835,0.6735936496433167,0.6683952151237503,0.6877128530821004,0.15363131974315813,0.1341811607755128
"2mkk , 1u6p",0.48957930866523597,0.5372222222203469,0.46524802241265656,0.9039055160381156,0.900354295837024,0.2937988927665481,0.7875040162992436,0.9263722990202657,0.12573129531970995,0.3214794312918446,0.685353535314959,0.4737896729889337,0.6770165770831004,0.32211237915539764,0.4744712462071566,0.5299108312379571,0.5248527964550198,0.6819302678408935,0.5484570787357397,0.10973131350913283
"6eo6 , 1exd",0.8602131414099259,0.5593939392575387,0.4100609756097561,0.992121862837203,0.4813994685562445,0.037917409758640996,0.7572723351955418,0.6937458059320896,0.011886123928806858,0.31937627136904956,0.7085858585792376,0.24546531010437037,0.6795156317672548,0.3201553617217836,0.2455965067483641,0.7552523142990754,0.7541170872176803,0.6852283939584614,0.40435134966647956,0.043538432766037034
"2lec , 1omh",0.3967967796711122,0.49439393932701164,0.35900420237310476,0.900845524090726,0.5622970180100384,0.2123432339068049,0.44584514631997707,0.6157025902563414,0.11994273236651282,0.3151901526326433,0.4292929292758812,0.40887738763337067,0.6834017605578595,0.3158383754959872,0.40909988623509996,0.5905602386974146,0.5891955642135694,0.6881578399712074,0.3387444673025372,0.12203727947135463
"4hik , 4hid",0.4161857825003222,0.48333333320119065,0.13626812788398154,0.9093007649979868,0.865515205196339,0.2322029830939845,0.1939145479620991,0.9064018252583546,0.11364947264337509,0.3149791632700576,0.6489898991197421,0.3187200413979902,0.6835962197140044,0.3156525078060349,0.3193729219951458,0.684707712371574,0.6798119019999156,0.6884722484059228,0.10814787108035658,0.128296240882738
"2lec , 4pdb",0.3967967796711122,0.626010100960721,0.06903015820698746,0.900845524090726,0.8841157366400945,0.2123432339068049,0.31944357766919973,0.9517782847939873,0.11994273236651282,0.3151901526326433,0.4292929292758812,0.38017344794776115,0.6834017605578595,0.3158383754959872,0.3808443248942737,0.623925278111705,0.6191331112630132,0.6881578399712074,0.10025559503771585,0.12203727947135463
"5wzj , 1wwf",0.31659568218464673,0.06287878771185512,0.1546123104812129,0.7513353912226546,0.8478004133451432,0.46946218608963364,0.47119897224366974,0.8952623808884712,0.30620674027686223,0.3002952014611727,0.6808080808298073,0.33204787622066223,0.6986805488105717,0.30064945557701,0.33267460137399274,0.6712363004838747,0.6664455330084745,0.7010740893989065,0.14802069696402967,0.4646717785674209
"2mkk , 4hid",0.48957930866523597,0.48333333320119065,0.13626812788398154,0.9039055160381156,0.865515205196339,0.2937988927665481,0.1939145479620991,0.9064018252583546,0.12573129531970995,0.3214794312918446,0.685353535314959,0.3187200413979902,0.6770165770831004,0.32211237915539764,0.3193729219951458,0.684707712371574,0.6798119019999156,0.6819302678408935,0.10814787108035658,0.10973131350913283
"1s03 , 5ytt",0.47769973809508515,0.0,0.03668836519446276,0.773614279962421,0.9357838795394154,0.5257578431951022,0.11540815213063912,0.97408401556838,0.28394858272907053,0.5204917806992073,0.6362626264357162,0.30839196926329815,0.4796944934664778,0.520766786851585,0.3091432621636223,0.6959666355726722,0.6904395530330842,0.48129218806235446,0.06815036469048065,0.3573343307773829
"1je8 , 4pdb",0.3810705960261007,0.626010100960721,0.06903015820698746,0.5840692524493356,0.8841157366400945,0.48700518731307063,0.31944357766919973,0.9517782847939873,0.4892056690837178,0.8199911808895057,0.14017676752971978,0.38017344794776115,0.17947582363633727,0.8199464390933411,0.3808443248942737,0.623925278111705,0.6191331112630132,0.17922708980614815,0.10025559503771585,0.2974128794962907
"4hik , 1osb",0.4161857825003222,0.7388888890297539,0.8827764502307185,0.9093007649979868,0.0,0.2322029830939845,0.8672875613887356,0.12870755603274725,0.11364947264337509,0.3149791632700576,0.6489898991197421,0.5295902378445947,0.6835962197140044,0.3156525078060349,0.529020454831091,0.46323441199297816,0.46809515751904324,0.6884722484059228,0.784851318496353,0.128296240882738
"1il2 , 4hj8",0.4131546265702396,0.7348484848336173,0.13816331575477916,0.6376862166152194,0.865515205196339,0.594582825885515,0.41101177244840437,0.8890887129244397,0.5659401779828609,0.0,0.573232323189703,0.3170743651801439,1.0,0.0,0.31772745227015653,0.6860900077286123,0.6813472130337725,1.0,0.14267190324792717,0.6448226419799263
"5wzk , 5ytv",0.42694161333620556,0.4830808080174327,0.02940631179960448,0.8070057710374445,0.9830233244759373,0.40182346859106743,0.04241165904666372,0.9987518453898805,0.25298698088332233,0.28755381095965266,0.7500000000196252,0.30616270544681073,0.7110013180461966,0.2880504417571046,0.30697936236160916,0.6985051623375829,0.6923523795386615,0.7145195896245624,0.024836356835608746,0.3779564865033352
